pair,event_type,lookback_window,session,volatility_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,48,new_york,high_vol,8,-0.00012256678,-7.5516581e-05,-0.00012256678,0.0014940887,0.47511157,0.47511157,0.52351528,0.0014228069,0.0015464901,0.002172315,2913,4.0248765e-05,False
ALL,breakout_high,48,new_york,low_vol,1,-6.9894529e-06,-1.0846301e-05,-6.9894529e-06,0.0002826336,0.48005066,0.48005066,0.5129829,0.00030266258,0.0003099101,0.00038724532,1579,9.7452978e-06,False
ALL,breakout_high,48,new_york,low_vol,2,-3.6760881e-06,-2.0361457e-05,-3.6760881e-06,0.00038342459,0.47751742,0.47751742,0.52121596,0.0004167954,0.0004276828,0.00051987568,1579,1.3083033e-05,False
ALL,breakout_high,48,new_york,low_vol,4,2.0388034e-05,3.9436064e-06,2.0388034e-05,0.00052399438,0.50094997,0.50094997,0.49461685,0.00057484848,0.00056896959,0.00070980513,1579,1.786274e-05,False
ALL,breakout_high,48,new_york,low_vol,8,4.9669999e-05,-3.8643195e-05,4.9669999e-05,0.00072812866,0.4819506,0.4819506,0.51678277,0.00077805318,0.00075341663,0.00099967254,1579,2.5157455e-05,False
ALL,breakout_high,48,new_york,medium_vol,1,-2.6380234e-06,-2.9555229e-05,-2.6380234e-06,0.00038592321,0.46189376,0.46189376,0.5334873,0.00039671958,0.00038624952,0.00054613076,2598,1.0714627e-05,False
ALL,breakout_high,48,new_york,medium_vol,2,-7.8269826e-06,-4.4933233e-05,-7.8269826e-06,0.00052580529,0.46689761,0.46689761,0.53079292,0.00054513156,0.00054036341,0.00074643623,2598,1.4644452e-05,False
ALL,breakout_high,48,new_york,medium_vol,4,-2.5101214e-05,-8.2443421e-05,-2.5101214e-05,0.00071164721,0.45034642,0.45034642,0.54849885,0.00073158485,0.00074780957,0.00099892739,2598,1.9598117e-05,False
ALL,breakout_high,48,new_york,medium_vol,8,-2.3141347e-05,-8.2158063e-05,-2.3141347e-05,0.00093685264,0.46112394,0.46112394,0.53887606,0.00096232931,0.00099261368,0.0012958915,2598,2.5424304e-05,False
ALL,breakout_high,48,new_york,unknown,1,-8.4355338e-05,1.1033549e-05,-8.4355338e-05,0.00047074003,0.51351351,0.51351351,0.48648649,0.00047780199,0.00049546454,0.00066590535,37,0.00010947417,False
ALL,breakout_high,48,new_york,unknown,2,-9.2167012e-05,7.36106e-06,-9.2167012e-05,0.00061831814,0.51351351,0.51351351,0.48648649,0.00064345755,0.0006487179,0.0007600471,37,0.00012495097,False
ALL,breakout_high,48,new_york,unknown,4,0.00015715637,-4.4185029e-06,0.00015715637,0.00082149004,0.48648649,0.48648649,0.51351351,0.00084857169,0.00078440717,0.00097322511,37,0.00015999722,False
ALL,breakout_high,48,new_york,unknown,8,0.00016167066,-6.256901e-05,0.00016167066,0.0011869066,0.45945946,0.45945946,0.54054054,0.001276617,0.00092559505,0.0014859045,37,0.00024428119,False
ALL,breakout_high,96,asia,high_vol,1,7.3522732e-05,-2.3498775e-05,7.3522732e-05,0.00063333458,0.4754717,0.4754717,0.5245283,0.00068900515,0.00055284209,0.00090519236,530,3.9319044e-05,False
ALL,breakout_high,96,asia,high_vol,2,5.6064252e-05,-7.5587046e-05,5.6064252e-05,0.00084058299,0.46226415,0.46226415,0.53396226,0.00091581695,0.00077426078,0.0012411842,530,5.3913598e-05,False
ALL,breakout_high,96,asia,high_vol,4,-3.0757478e-05,-0.00013705346,-3.0757478e-05,0.0011820052,0.45849057,0.45849057,0.53962264,0.0012124284,0.0011610408,0.0018095546,530,7.860203e-05,False
ALL,breakout_high,96,asia,high_vol,8,-0.00035599799,-0.00014671262,-0.00035599799,0.0018134653,0.45849057,0.45849057,0.53962264,0.0015635101,0.0018542941,0.003265522,530,0.00014184521,False
ALL,breakout_high,96,asia,low_vol,1,-1.0279325e-05,-2.4370728e-05,-1.0279325e-05,0.00024376132,0.45824983,0.45824983,0.53573814,0.00026016043,0.00026291731,0.00033001136,1497,8.5293903e-06,False
ALL,breakout_high,96,asia,low_vol,2,-1.1247209e-05,-2.2182688e-05,-1.1247209e-05,0.00033420879,0.46292585,0.46292585,0.53373413,0.00035998057,0.00036850326,0.00045122427,1497,1.1662229e-05,False
