pair,event_type,lookback_window,session,session_subcontext,transition_context,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,48,new_york,early_session,inside_new_york,8,1.7658814e-05,-3.6117559e-05,1.7658814e-05,0.0014535291,0.48882069,0.48882069,0.5107409,0.0014400026,0.0014276511,0.0020500592,2281,4.2924353e-05,False
ALL,breakout_high,48,new_york,early_session,london_to_new_york_boundary,1,-4.4313244e-05,-3.4210026e-05,-4.4313244e-05,0.00033679678,0.40625,0.40625,0.578125,0.00029744993,0.00036909961,0.00059282636,256,3.7051647e-05,False
ALL,breakout_high,48,new_york,early_session,london_to_new_york_boundary,2,-5.6735412e-05,-8.1763174e-05,-5.6735412e-05,0.00040212977,0.37890625,0.37890625,0.61328125,0.00038524376,0.00048181531,0.00066723882,256,4.1702426e-05,False
ALL,breakout_high,48,new_york,early_session,london_to_new_york_boundary,4,-1.9502788e-05,-3.8996714e-05,-1.9502788e-05,0.00055052058,0.46875,0.46875,0.5234375,0.00058530061,0.00062730525,0.00082701798,256,5.1688624e-05,False
ALL,breakout_high,48,new_york,early_session,london_to_new_york_boundary,8,-0.00011732327,-4.0242388e-05,-0.00011732327,0.00085537609,0.47265625,0.47265625,0.5234375,0.00087318462,0.00094290452,0.0011749917,256,7.3436981e-05,False
ALL,breakout_high,48,new_york,late_session,inside_new_york,1,-9.4532236e-08,-1.3560055e-05,-9.4532236e-08,0.00032885139,0.47555866,0.47555866,0.51675978,0.00033321529,0.00033353907,0.00053606167,1432,1.416587e-05,False
ALL,breakout_high,48,new_york,late_session,inside_new_york,2,-2.8146092e-05,-4.1183966e-05,-2.8146092e-05,0.00044977607,0.45879888,0.45879888,0.5377095,0.00044167196,0.00046998209,0.00071241141,1432,1.8826057e-05,False
ALL,breakout_high,48,new_york,late_session,inside_new_york,4,-7.8762552e-05,-9.4095577e-05,-7.8762552e-05,0.00059192841,0.42458101,0.42458101,0.57192737,0.00057867561,0.00065207879,0.00096424435,1432,2.5480949e-05,False
ALL,breakout_high,48,new_york,late_session,inside_new_york,8,-0.00015822862,-0.00013335778,-0.00015822862,0.00073904209,0.41899441,0.41899441,0.57960894,0.00070297224,0.00086923572,0.001193686,1432,3.1544133e-05,False
ALL,breakout_high,48,new_york,late_session,london_to_new_york_boundary,1,-0.0003055407,-0.0003055407,-0.0003055407,0.0012827163,0.5,0.5,0.5,0.0012068491,0.0011507276,0.0018140348,2,0.0012827163,True
ALL,breakout_high,48,new_york,late_session,london_to_new_york_boundary,2,-0.0017099515,-0.0017099515,-0.0017099515,0.0017099515,0,0,1,0.0019156812,0.0023906202,0.0015518421,2,0.0010973181,True
ALL,breakout_high,48,new_york,late_session,london_to_new_york_boundary,4,-0.0026310353,-0.0026310353,-0.0026310353,0.0026310353,0,0,1,0.0019156812,0.0031473761,0.0014009134,2,0.00099059538,True
ALL,breakout_high,48,new_york,late_session,london_to_new_york_boundary,8,-0.00087213926,-0.00087213926,-0.00087213926,0.0016721069,0.5,0.5,0.5,0.0019156812,0.0049616942,0.0023647162,2,0.0016721069,True
ALL,breakout_high,48,new_york,mid_session,inside_new_york,1,-1.7905661e-05,-2.7821442e-05,-1.7905661e-05,0.00044256455,0.46719493,0.46719493,0.52836767,0.00044992346,0.00045838645,0.00065600387,3155,1.1679028e-05,False
ALL,breakout_high,48,new_york,mid_session,inside_new_york,2,-2.8374747e-05,-3.0785334e-05,-2.8374747e-05,0.00061785113,0.47860539,0.47860539,0.51980983,0.00062037652,0.00064338447,0.00093601161,3155,1.6664088e-05,False
ALL,breakout_high,48,new_york,mid_session,inside_new_york,4,-3.3521836e-05,-2.6692469e-05,-3.3521836e-05,0.00083639682,0.48526149,0.48526149,0.51283677,0.00083677345,0.00086602566,0.0012536957,3155,2.2319911e-05,False
ALL,breakout_high,48,new_york,mid_session,inside_new_york,8,-3.6109294e-05,-4.1044538e-05,-3.6109294e-05,0.0010722617,0.48272583,0.48272583,0.51664025,0.0010781858,0.0011264284,0.0015709905,3155,2.7968802e-05,False
ALL,breakout_high,48,new_york,mid_session,london_to_new_york_boundary,1,-0.00037980086,-0.00037980086,-0.00037980086,0.00037980086,0,0,1,0.00015661891,0.00057948997,,1,,True
ALL,breakout_high,48,new_york,mid_session,london_to_new_york_boundary,2,-0.00064605301,-0.00064605301,-0.00064605301,0.00064605301,0,0,1,0.00015661891,0.001010192,,1,,True
