pair,event_type,lookback_window,magnitude_bucket,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,sweep_high,24,large,8,4.1602239e-06,0,4.1602239e-06,0.0010987231,0.49773909,0.49773909,0.49988695,0.0011219877,0.0011407114,0.0016487457,8846,1.7529931e-05,False
ALL,sweep_high,24,medium,1,-4.5705105e-06,-8.7715469e-06,-4.5705105e-06,0.00036287574,0.48484848,0.48484848,0.5078019,0.00035700687,0.00036229163,0.00058865314,8844,6.2594344e-06,False
ALL,sweep_high,24,medium,2,-2.0721379e-06,-1.0493547e-05,-2.0721379e-06,0.00051066351,0.48665762,0.48665762,0.50893261,0.00050950145,0.00051668117,0.00083343616,8844,8.8623311e-06,False
ALL,sweep_high,24,medium,4,-7.5059106e-06,-1.0067243e-05,-7.5059106e-06,0.0007175612,0.49027589,0.49027589,0.50712347,0.00071743839,0.00073565723,0.0011198995,8844,1.1908435e-05,False
ALL,sweep_high,24,medium,8,-2.7247623e-05,-2.6193221e-05,-2.7247623e-05,0.0010174346,0.48733605,0.48733605,0.51028946,0.0010100167,0.0010559885,0.0016083283,8844,1.7102135e-05,False
ALL,sweep_high,24,small,1,9.1494147e-06,-4.4998839e-06,9.1494147e-06,0.00034325448,0.48869546,0.48869546,0.50565227,0.0003444253,0.00033722532,0.00054154876,8846,5.7578998e-06,False
ALL,sweep_high,24,small,2,1.519642e-05,-9.1130089e-06,1.519642e-05,0.00048755246,0.4888085,0.4888085,0.50768709,0.00049893358,0.00048538904,0.00078846707,8846,8.3832051e-06,False
ALL,sweep_high,24,small,4,1.6869731e-05,-3.4206506e-06,1.6869731e-05,0.00069351261,0.49717386,0.49717386,0.50022609,0.00071515731,0.00069311669,0.0011387253,8846,1.210725e-05,False
ALL,sweep_high,24,small,8,2.257223e-05,-1.3966552e-05,2.257223e-05,0.00096275118,0.4912955,0.4912955,0.50644359,0.00099940113,0.00098158814,0.0015036636,8846,1.5987377e-05,False
ALL,sweep_high,48,large,1,8.6017114e-06,0,8.6017114e-06,0.00043154453,0.49681216,0.49681216,0.49762956,0.00044233387,0.00043228124,0.00072532494,6117,9.2739205e-06,False
