pair,event_type,lookback_window,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
GBPUSD,sweep_low,48,8,-3.7053262e-05,2.2869253e-05,3.7053262e-05,0.0013010742,0.50592821,0.49309729,0.50592821,0.0013728471,0.001297544,0.0018805616,6157,2.396641e-05,False
GBPUSD,sweep_low,96,1,-9.4071831e-06,7.2120945e-06,9.4071831e-06,0.00050390541,0.50398089,0.49150743,0.50398089,0.00051700912,0.00047683633,0.00073846029,3768,1.2030168e-05,False
GBPUSD,sweep_low,96,2,-2.8333664e-05,7.896493e-06,2.8333664e-05,0.00071661728,0.50716561,0.49044586,0.50716561,0.00073596038,0.00067793507,0.0010483256,3768,1.7078146e-05,False
GBPUSD,sweep_low,96,4,-6.727617e-05,-1.8109118e-06,6.727617e-05,0.00097706571,0.49840764,0.5,0.49840764,0.0010428669,0.00093835579,0.0014519789,3768,2.3654014e-05,False
GBPUSD,sweep_low,96,8,-6.4614182e-05,2.2953683e-05,6.4614182e-05,0.0013440828,0.50663482,0.492569,0.50663482,0.0014383266,0.0013086574,0.0019553911,3768,3.1855043e-05,False
USDJPY,breakout_high,24,1,2.7651256e-06,-1.8423677e-05,2.7651256e-06,0.00037291367,0.47397145,0.47397145,0.52078086,0.00038847915,0.0003747986,0.00063121982,9528,6.4666559e-06,False
USDJPY,breakout_high,24,2,-2.0224873e-06,-2.0796238e-05,-2.0224873e-06,0.00050823926,0.47858942,0.47858942,0.51721243,0.00053688343,0.00053300611,0.00078393183,9528,8.0311442e-06,False
USDJPY,breakout_high,24,4,-2.8386661e-07,-1.6589749e-05,-2.8386661e-07,0.00072657266,0.48730059,0.48730059,0.50965575,0.00075165952,0.00076137968,0.0011089284,9528,1.1360635e-05,False
USDJPY,breakout_high,24,8,4.0380756e-07,-3.2954669e-05,4.0380756e-07,0.0010459026,0.48530647,0.48530647,0.5124895,0.0010531283,0.0010860147,0.0016507403,9528,1.6911335e-05,False
USDJPY,breakout_high,48,1,1.261834e-05,-9.4892416e-06,1.261834e-05,0.00037884908,0.48388561,0.48388561,0.5111212,0.00040134538,0.00038035555,0.00057299233,6609,7.0482441e-06,False
USDJPY,breakout_high,48,2,4.2103441e-06,-1.3927447e-05,4.2103441e-06,0.0005191289,0.48343168,0.48343168,0.5129369,0.00054826314,0.00054033382,0.00078415567,6609,9.6457146e-06,False
USDJPY,breakout_high,48,4,1.6318125e-05,-1.1743338e-05,1.6318125e-05,0.00073453513,0.48933273,0.48933273,0.50718717,0.00076627714,0.00076433135,0.001109799,6609,1.3651376e-05,False
USDJPY,breakout_high,48,8,2.0517716e-05,-2.0028908e-05,2.0517716e-05,0.0010676421,0.49251021,0.49251021,0.50567408,0.0010720636,0.0010903642,0.0017083639,6609,2.1014183e-05,False
USDJPY,breakout_high,96,1,2.5944825e-05,-4.5674405e-06,2.5944825e-05,0.00038789324,0.49122065,0.49122065,0.50349059,0.00041299698,0.000378811,0.00058058277,4727,8.4444495e-06,False
USDJPY,breakout_high,96,2,2.7046539e-05,-1.2873609e-16,2.7046539e-05,0.000527915,0.49629786,0.49629786,0.50010578,0.00056540838,0.00053768748,0.00078726448,4727,1.145059e-05,False
USDJPY,breakout_high,96,4,4.7951529e-05,4.5050321e-06,4.7951529e-05,0.00073712216,0.50137508,0.50137508,0.49524011,0.00078301047,0.00075247017,0.0011075445,4727,1.6108993e-05,False
USDJPY,breakout_high,96,8,4.4606479e-05,7.4147398e-06,4.4606479e-05,0.0010689441,0.50158663,0.50158663,0.49672096,0.001085753,0.0010785422,0.0017422122,4727,2.5340096e-05,False
