pair,session_date,fx_session_date,session,session_start,session_end,session_return,session_abs_return,session_range,session_direction,session_direction_sign,volatility_regime,range_regime,directional_efficiency_ratio,close_location_value,structural_breach_presence,breach_direction,breach_magnitude_bucket,breakout_event_count,sweep_event_count,breach_event_count
EURUSD,2023-04-20,2023-04-20,london,2023-04-20 07:00:00+00:00,2023-04-20 12:45:00+00:00,0.0009528412,0.0009528412,0.0046958203,up,1,high_vol,normal,0.07249393,0.85728155,breakout,downside,large,4,8,12
EURUSD,2023-04-21,2023-04-21,new_york,2023-04-20 22:00:00+00:00,2023-04-21 20:45:00+00:00,0.0018415031,0.0018415031,0.004663014,up,1,high_vol,compressed,0.11002179,0.91691105,sweep,downside,large,2,4,6
EURUSD,2023-04-21,2023-04-21,asia,2023-04-21 00:00:00+00:00,2023-04-21 06:45:00+00:00,-0.00235691,0.00235691,0.0032094094,down,-1,low_vol,expanded,0.41326938,0.10795455,breakout,downside,large,11,4,15
EURUSD,2023-04-21,2023-04-21,london,2023-04-21 07:00:00+00:00,2023-04-21 12:45:00+00:00,0.0042360489,0.0042360489,0.0047112906,up,1,medium_vol,normal,0.49125596,0.96120272,breakout,upside,large,3,5,8
EURUSD,2023-04-23,2023-04-23,new_york,2023-04-23 21:00:00+00:00,2023-04-23 21:45:00+00:00,-0.00034115721,0.00034115721,0.00042303493,down,-1,low_vol,compressed,0.92592593,0.19354839,none,none,none,0,0,0
EURUSD,2023-04-24,2023-04-24,new_york,2023-04-23 22:00:00+00:00,2023-04-24 21:45:00+00:00,0.0052602121,0.0052602121,0.0056742946,up,1,low_vol,normal,0.40250696,0.93263833,breakout,upside,large,18,13,31
EURUSD,2023-04-24,2023-04-24,asia,2023-04-24 00:00:00+00:00,2023-04-24 06:45:00+00:00,-0.001523884,0.001523884,0.0020470084,down,-1,low_vol,normal,0.22468142,0.10222222,breakout,downside,medium,3,7,10
EURUSD,2023-04-24,2023-04-24,london,2023-04-24 07:00:00+00:00,2023-04-24 12:45:00+00:00,0.0043873037,0.0043873037,0.0053895953,up,1,high_vol,normal,0.35107546,0.96449704,breakout,upside,large,13,5,18
EURUSD,2023-04-25,2023-04-25,new_york,2023-04-24 22:00:00+00:00,2023-04-25 21:45:00+00:00,-0.0063915118,0.0063915118,0.008414887,down,-1,medium_vol,expanded,0.3997735,0.11888112,breakout,downside,large,30,24,54
EURUSD,2023-04-25,2023-04-25,asia,2023-04-25 00:00:00+00:00,2023-04-25 06:45:00+00:00,-0.00051549422,0.00051549422,0.0019986706,down,-1,low_vol,normal,0.076716016,0.29638009,breakout,upside,large,4,14,18
EURUSD,2023-04-25,2023-04-25,london,2023-04-25 07:00:00+00:00,2023-04-25 12:45:00+00:00,-0.0030900643,0.0030900643,0.0038048961,down,-1,high_vol,normal,0.33997013,0.18549346,breakout,downside,large,8,4,12
EURUSD,2023-04-26,2023-04-26,new_york,2023-04-25 22:00:00+00:00,2023-04-26 21:45:00+00:00,0.0061183674,0.0061183674,0.011161579,up,1,high_vol,expanded,0.27799627,0.56653061,breakout,upside,large,5,2,7
EURUSD,2023-04-26,2023-04-26,asia,2023-04-26 00:00:00+00:00,2023-04-26 06:45:00+00:00,0.0026234287,0.0026234287,0.0039305884,up,1,low_vol,expanded,0.45211931,0.88876014,breakout,upside,large,12,7,19
EURUSD,2023-04-26,2023-04-26,london,2023-04-26 07:00:00+00:00,2023-04-26 12:45:00+00:00,0.0042837544,0.0042837544,0.0053194872,up,1,high_vol,normal,0.26935161,0.84799317,breakout,upside,large,12,8,20
EURUSD,2023-04-27,2023-04-27,new_york,2023-04-26 22:00:00+00:00,2023-04-27 21:45:00+00:00,-0.0014716404,0.0014716404,0.0049175429,down,-1,medium_vol,normal,0.092513521,0.61970534,sweep,upside,large,7,10,17
EURUSD,2023-04-27,2023-04-27,asia,2023-04-27 00:00:00+00:00,2023-04-27 06:45:00+00:00,0.00097780474,0.00097780474,0.0022181682,up,1,low_vol,normal,0.18914186,0.68979592,breakout,upside,large,6,13,19
EURUSD,2023-04-27,2023-04-27,london,2023-04-27 07:00:00+00:00,2023-04-27 12:45:00+00:00,-0.0038621912,0.0038621912,0.0053003374,down,-1,high_vol,normal,0.34942717,0.20989761,breakout,downside,large,4,10,14
EURUSD,2023-04-28,2023-04-28,new_york,2023-04-27 22:00:00+00:00,2023-04-28 20:45:00+00:00,-0.0008888123,0.0008888123,0.0056503068,down,-1,high_vol,normal,0.068055556,0.53611557,sweep,upside,large,4,12,16
EURUSD,2023-04-28,2023-04-28,asia,2023-04-28 00:00:00+00:00,2023-04-28 06:45:00+00:00,-0.00056201928,0.00056201928,0.0030593791,down,-1,medium_vol,expanded,0.072855464,0.5837037,sweep,upside,large,6,7,13
EURUSD,2023-04-28,2023-04-28,london,2023-04-28 07:00:00+00:00,2023-04-28 12:45:00+00:00,-0.003705081,0.003705081,0.0057004735,down,-1,high_vol,expanded,0.25961233,0.35003978,breakout,downside,large,14,8,22
EURUSD,2023-04-30,2023-04-30,new_york,2023-04-30 21:00:00+00:00,2023-04-30 21:45:00+00:00,-0.00060307341,0.00060307341,0.00082525835,down,-1,low_vol,compressed,0.95683453,0.093406593,none,none,none,0,0,0
EURUSD,2023-05-01,2023-05-01,new_york,2023-04-30 22:00:00+00:00,2023-05-01 21:45:00+00:00,-0.0040561693,0.0040561693,0.0064562964,down,-1,medium_vol,expanded,0.33710407,0.15600843,breakout,downside,medium,16,13,29
EURUSD,2023-05-01,2023-05-01,asia,2023-05-01 00:00:00+00:00,2023-05-01 06:45:00+00:00,-0.001180659,0.001180659,0.0017800705,down,-1,low_vol,compressed,0.18518519,0.1505102,breakout,downside,large,5,8,13
EURUSD,2023-05-01,2023-05-01,london,2023-05-01 07:00:00+00:00,2023-05-01 12:45:00+00:00,0.0031869865,0.0031869865,0.0041235332,up,1,low_vol,normal,0.47269049,0.98235943,breakout,upside,large,10,7,17
EURUSD,2023-05-02,2023-05-02,new_york,2023-05-01 22:00:00+00:00,2023-05-02 21:45:00+00:00,0.0023552458,0.0023552458,0.0059815043,up,1,high_vol,normal,0.14262069,0.90022848,breakout,upside,medium,5,10,15
EURUSD,2023-05-02,2023-05-02,asia,2023-05-02 00:00:00+00:00,2023-05-02 06:45:00+00:00,0.002078623,0.002078623,0.0023794763,up,1,low_vol,normal,0.30727763,0.87931034,breakout,upside,large,4,3,7
EURUSD,2023-05-02,2023-05-02,london,2023-05-02 07:00:00+00:00,2023-05-02 12:45:00+00:00,-0.0033070558,0.0033070558,0.0053222219,down,-1,high_vol,normal,0.24064879,0.12136752,breakout,downside,large,7,12,19
EURUSD,2023-05-03,2023-05-03,new_york,2023-05-02 22:00:00+00:00,2023-05-03 21:45:00+00:00,0.0055672455,0.0055672455,0.0082804256,up,1,high_vol,expanded,0.2782194,0.68551043,breakout,upside,large,15,6,21
EURUSD,2023-05-03,2023-05-03,asia,2023-05-03 00:00:00+00:00,2023-05-03 06:45:00+00:00,0.0017891118,0.0017891118,0.0024384595,up,1,low_vol,normal,0.25224072,0.96089385,breakout,upside,large,18,6,24
EURUSD,2023-05-03,2023-05-03,london,2023-05-03 07:00:00+00:00,2023-05-03 12:45:00+00:00,0.00074340343,0.00074340343,0.0022347432,up,1,low_vol,compressed,0.11357341,0.65922921,breakout,upside,large,9,12,21
EURUSD,2023-05-04,2023-05-04,new_york,2023-05-03 22:00:00+00:00,2023-05-04 21:45:00+00:00,-0.0044562353,0.0044562353,0.0083294541,down,-1,high_vol,expanded,0.19959514,0.30113945,breakout,downside,medium,3,0,3
EURUSD,2023-05-04,2023-05-04,asia,2023-05-04 00:00:00+00:00,2023-05-04 06:45:00+00:00,0.00060982496,0.00060982496,0.0020824393,up,1,medium_vol,normal,0.086042065,0.29284165,breakout,upside,medium,1,6,7
EURUSD,2023-05-04,2023-05-04,london,2023-05-04 07:00:00+00:00,2023-05-04 12:45:00+00:00,-0.0059771028,0.0059771028,0.0074849218,down,-1,high_vol,expanded,0.4273725,0.0946924,breakout,downside,large,15,7,22
EURUSD,2023-05-05,2023-05-05,new_york,2023-05-04 22:00:00+00:00,2023-05-05 20:45:00+00:00,0.00043582876,0.00043582876,0.0054841785,up,1,medium_vol,normal,0.028285209,0.69784768,breakout,upside,medium,1,0,1
EURUSD,2023-05-05,2023-05-05,asia,2023-05-05 00:00:00+00:00,2023-05-05 06:45:00+00:00,0.0020275695,0.0020275695,0.002526524,up,1,low_vol,normal,0.27173252,0.94793537,breakout,upside,large,9,10,19
EURUSD,2023-05-05,2023-05-05,london,2023-05-05 07:00:00+00:00,2023-05-05 12:45:00+00:00,-0.0062786318,0.0062786318,0.0073333695,down,-1,high_vol,expanded,0.65765766,0.11358025,breakout,downside,large,8,13,21
EURUSD,2023-05-07,2023-05-07,new_york,2023-05-07 21:00:00+00:00,2023-05-07 21:45:00+00:00,-0.0001043117,0.0001043117,0.00061226433,down,-1,low_vol,compressed,0.12299465,0.77037037,none,none,none,0,0,0
EURUSD,2023-05-08,2023-05-08,new_york,2023-05-07 22:00:00+00:00,2023-05-08 21:45:00+00:00,-0.0015831254,0.0015831254,0.0040054434,down,-1,low_vol,compressed,0.1292114,0.11098528,breakout,downside,large,10,8,18
EURUSD,2023-05-08,2023-05-08,asia,2023-05-08 00:00:00+00:00,2023-05-08 06:45:00+00:00,0.0027227431,0.0027227431,0.0030676239,up,1,low_vol,expanded,0.42492918,0.93047337,breakout,upside,large,17,12,29
EURUSD,2023-05-08,2023-05-08,london,2023-05-08 07:00:00+00:00,2023-05-08 12:45:00+00:00,-0.0010092096,0.0010092096,0.0027922974,down,-1,medium_vol,compressed,0.12794033,0.46191248,sweep,downside,large,1,7,8
EURUSD,2023-05-09,2023-05-09,new_york,2023-05-08 22:00:00+00:00,2023-05-09 21:45:00+00:00,-0.0050658791,0.0050658791,0.005810995,down,-1,medium_vol,normal,0.34552216,0.12744332,breakout,downside,large,8,7,15
EURUSD,2023-05-09,2023-05-09,asia,2023-05-09 00:00:00+00:00,2023-05-09 06:45:00+00:00,-0.00020006548,0.00020006548,0.0014686625,down,-1,low_vol,compressed,0.039007092,0.58823529,breakout,downside,large,4,7,11
EURUSD,2023-05-09,2023-05-09,london,2023-05-09 07:00:00+00:00,2023-05-09 12:45:00+00:00,-0.0040202833,0.0040202833,0.0045933101,down,-1,medium_vol,normal,0.58005249,0.003960396,breakout,downside,large,15,3,18
EURUSD,2023-05-10,2023-05-10,new_york,2023-05-09 22:00:00+00:00,2023-05-10 21:45:00+00:00,0.0021763729,0.0021763729,0.0044394357,up,1,medium_vol,compressed,0.14901593,0.49640288,sweep,upside,small,0,6,6
EURUSD,2023-05-10,2023-05-10,asia,2023-05-10 00:00:00+00:00,2023-05-10 06:45:00+00:00,0.00046057312,0.00046057312,0.001368039,up,1,low_vol,compressed,0.088209607,0.48333333,sweep,downside,large,6,6,12
EURUSD,2023-05-10,2023-05-10,london,2023-05-10 07:00:00+00:00,2023-05-10 12:45:00+00:00,0.0028533662,0.0028533662,0.0058525913,up,1,high_vol,normal,0.24376947,0.92211838,breakout,upside,large,12,6,18
