pair,lookback_window,event_class,event_side,horizon_bars,mean_forward_return,mean_abs_forward_return,continuation_probability,reversal_probability,sample_count,low_sample
GBPUSD,48,sweep,high,4,4.365212542612265e-06,0.0008828662625985913,0.4927724541172649,0.5046288777001786,6157,False
GBPUSD,48,sweep,high,8,-1.4170844775102015e-06,0.0012235418049959662,0.491960370310216,0.5067402955985058,6157,False
GBPUSD,48,sweep,low,1,-4.2291394627244276e-06,0.000478314425702682,0.48822478479779113,0.5073899626441448,6157,False
GBPUSD,48,sweep,low,2,-1.273501851342936e-05,0.0006751067190508198,0.4883872015592009,0.5090141302582426,6157,False
GBPUSD,48,sweep,low,4,-4.2120946902134945e-05,0.000935891968815467,0.5018677927562124,0.49683287315250935,6157,False
GBPUSD,48,sweep,low,8,-3.705326151461725e-05,0.0013010742309632088,0.4930972876400845,0.5059282117914569,6157,False
GBPUSD,96,breakout,high,1,-1.6535946915267958e-05,0.00046925822466806254,0.46866485013623976,0.5281149368342829,4037,False
GBPUSD,96,breakout,high,2,-2.583504892312425e-05,0.0006576127305131467,0.46916026752539014,0.528362645528858,4037,False
GBPUSD,96,breakout,high,4,-3.919389968714087e-05,0.0009173305254816542,0.46816943274708944,0.5305920237800347,4037,False
GBPUSD,96,breakout,high,8,-5.6704325421115244e-05,0.0012713582564631174,0.47981174139212285,0.5182065890512757,4037,False
GBPUSD,96,breakout,low,1,3.4368115310792016e-05,0.0005317764310716861,0.46105369296697757,0.5366775901184775,3967,False
GBPUSD,96,breakout,low,2,5.954810157699615e-05,0.0007267280752446276,0.45122258633728257,0.5462566170910007,3967,False
GBPUSD,96,breakout,low,4,3.9149595968188185e-05,0.0010149989759020077,0.4645828081673809,0.5344088732039325,3967,False
GBPUSD,96,breakout,low,8,5.981634635485096e-05,0.0014099272230282383,0.4751701537685909,0.5233173682883792,3967,False
GBPUSD,96,sweep,high,1,1.09644000645549e-05,0.00046739569476999247,0.4930537352555701,0.5030144167758847,3815,False
GBPUSD,96,sweep,high,2,-1.147233755435421e-05,0.000652667675747315,0.47680209698558323,0.5195281782437746,3815,False
GBPUSD,96,sweep,high,4,-1.1701896292053729e-06,0.0008932993132000522,0.4927916120576671,0.5040629095674968,3815,False
GBPUSD,96,sweep,high,8,-8.55332961933807e-06,0.001216382964453206,0.48440366972477067,0.5145478374836173,3815,False
GBPUSD,96,sweep,low,1,-9.407183118392465e-06,0.0005039054071648298,0.49150743099787686,0.5039808917197452,3768,False
GBPUSD,96,sweep,low,2,-2.833366412649316e-05,0.0007166172846096512,0.49044585987261147,0.5071656050955414,3768,False
GBPUSD,96,sweep,low,4,-6.727616958769284e-05,0.0009770657104906338,0.5,0.4984076433121019,3768,False
GBPUSD,96,sweep,low,8,-6.461418180316463e-05,0.0013440828452636867,0.49256900212314225,0.5066348195329087,3768,False
USDJPY,24,breakout,high,1,2.765125594021363e-06,0.00037291366825279674,0.4739714525608732,0.5207808564231738,9528,False
USDJPY,24,breakout,high,2,-2.0224873284792266e-06,0.0005082392622192276,0.47858942065491183,0.5172124265323258,9528,False
USDJPY,24,breakout,high,4,-2.8386660570744465e-07,0.0007265726591720779,0.4873005877413938,0.5096557514693535,9528,False
USDJPY,24,breakout,high,8,4.0380756212539445e-07,0.0010459025739871577,0.48530646515533166,0.512489504617968,9528,False
USDJPY,24,breakout,low,1,6.803285869374938e-06,0.0004772623467754213,0.4445893089960887,0.5507170795306389,7670,False
USDJPY,24,breakout,low,2,9.386825961685799e-06,0.0006528424460015003,0.4559322033898305,0.5400260756192959,7670,False
